"main_obj_id","obj_id","type"
5,9,'classAnnotation'
6,9,'classAnnotation'
7,8,'classAnnotation'
8,8,'classAnnotation'
9,8,'classAnnotation'
10,8,'classAnnotation'
11,8,'classAnnotation'
12,8,'classAnnotation'
13,8,'classAnnotation'
14,8,'classAnnotation'
15,8,'classAnnotation'
16,8,'classAnnotation'
17,8,'classAnnotation'
18,8,'classAnnotation'
19,8,'classAnnotation'
20,8,'classAnnotation'
21,8,'classAnnotation'
22,8,'classAnnotation'
23,8,'classAnnotation'
24,8,'classAnnotation'
